time,global_base_link_position.x,global_base_link_position.y,global_base_link_position.z,global_base_link_rotation.x,global_base_link_rotation.y,global_base_link_rotation.z,global_base_link_rotation.w,bsae_linear_vel_x,bsae_linear_vel_y,bsae_linear_vel_z,bsae_angular_vel_x,bsae_angular_vel_y,bsae_angular_vel_z,local_Link_head_yaw_rotation,local_Link_head_pitch_rotation,local_Link_arm_l_01_rotation,local_Link_arm_l_02_rotation,local_Link_arm_l_03_rotation,local_Link_arm_l_04_rotation,local_Link_arm_l_05_rotation,local_Link_arm_l_06_rotation,local_Link_arm_l_07_rotation,local_Link_arm_r_01_rotation,local_Link_arm_r_02_rotation,local_Link_arm_r_03_rotation,local_Link_arm_r_04_rotation,local_Link_arm_r_05_rotation,local_Link_arm_r_06_rotation,local_Link_arm_r_07_rotation,local_Link_waist_pitch_rotation,local_Link_waist_roll_rotation,local_Link_waist_yaw_rotation,local_Link_hip_l_roll_rotation,local_Link_hip_l_yaw_rotation,local_Link_hip_l_pitch_rotation,local_Link_knee_l_pitch_rotation,local_Link_ankle_l_pitch_rotation,local_Link_ankle_l_roll_rotation,local_Link_hip_r_roll_rotation,local_Link_hip_r_yaw_rotation,local_Link_hip_r_pitch_rotation,local_Link_knee_r_pitch_rotation,local_Link_ankle_r_pitch_rotation,local_Link_ankle_r_roll_rotation
0.1,0.005101037,0,1.140855074,0,0,0,1,0.105522901,0,0,0,0,0,0,0,0.005204019,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001118465,-0.000270172,-0.004764124,-0.003241225,-0.001772837,8.78E-07,-0.000838919,-0.001628085,0.049815492,-0.034550472,0.021778508,2.82E-07
0.104166667,0.005561095,0,1.140855074,0,0,0,1,0.110413909,0,0,0,0,0,0,0,0.005604113,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001116319,-0.000291034,-0.005345984,-0.003245397,-0.001216964,6.40E-07,-0.000817223,-0.001756712,0.053874926,-0.037542268,0.023215934,5.21E-07
0.108333333,0.006041604,0,1.140855074,0,0,0,1,0.115322128,0,0,0,0,0,0,0,0.006013287,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001114174,-0.00031273,-0.005953236,-0.003250523,-0.000638799,6.40E-07,-0.000794216,-0.001890822,0.058070378,-0.040663167,0.024629517,2.82E-07
0.1125,0.006542633,0,1.140855074,0,0,0,1,0.120246887,0,0,0,0,0,0,0,0.006430892,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001112147,-0.000335379,-0.00658588,-0.003257199,-3.85E-05,7.59E-07,-0.00076942,-0.002030416,0.062398032,-0.04391317,0.026011272,4.01E-07
0.116666667,0.007064257,0,1.140855074,0,0,0,1,0.125189751,0,0,0,0,0,0,0,0.006856282,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001109882,-0.000358983,-0.007244035,-0.003264948,0.000583692,6.40E-07,-0.000743075,-0.002175613,0.066854791,-0.047292634,0.027354046,2.82E-07
0.120833333,0.007606545,0,1.140855074,0,0,0,1,0.130149037,0,0,0,0,0,0,0,0.007288807,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001107617,-0.000383421,-0.007927581,-0.003274484,0.001227423,6.40E-07,-0.000715061,-0.002326294,0.071437196,-0.050800367,0.028649731,1.63E-07
0.125,0.008169566,0,1.140855074,0,0,0,1,0.135125205,0,0,0,0,0,0,0,0.007727815,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001105352,-0.000408693,-0.008636518,-0.003285452,0.001892491,5.21E-07,-0.000685139,-0.002482577,0.076141552,-0.054436012,0.029891892,2.82E-07
0.129166667,0.008753397,0,1.140855074,0,0,0,1,0.140119255,0,0,0,0,0,0,0,0.008172664,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001102849,-0.000434919,-0.009371086,-0.003298446,0.00257866,6.40E-07,-0.000653549,-0.002644583,0.080964402,-0.058198973,0.031070872,4.01E-07
0.133333333,0.009358106,0,1.140855074,0,0,0,1,0.145130292,0,0,0,0,0,0,0,0.008622702,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001100465,-0.000462099,-0.010131999,-0.003313585,0.003285571,5.21E-07,-0.000619932,-0.00281231,0.085901574,-0.062086864,0.032179757,2.82E-07
0.1375,0.009983765,0,1.140855074,0,0,0,1,0.150158092,0,0,0,0,0,0,0,0.009077279,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001097961,-0.000490113,-0.010917469,-0.003330513,0.004012867,6.40E-07,-0.000584288,-0.00298576,0.090948776,-0.066097422,0.033211394,5.21E-07
